input,expected_output
"What is the capital of France?","Paris"
"What is the largest continent by area?","Asia"
"What is the longest river in the world?","Nile"
"What is the smallest country in the world?","Vatican City"
"What ocean lies between Europe and North America?","Atlantic Ocean"
"What is the capital of Japan?","Tokyo"
"What is the driest continent?","Antarctica"
"What country has the most time zones?","France"
"What is the capital of Brazil?","Brasilia"
"What is the tallest mountain in the world?","Mount Everest"
